"Filter 1","Filter 2","Country_Code","Country Individualism","C","Gender","AV1.4","AV3.3.1","AV3.3.2","AV3.3.3","AV3.3.4","AV3.3.5","AV3.3.6","AV3.3.7","AV3.3.8","AV3.3.9","AV3.3.10","AV3.3.11","AV3.3.12","NPQC-R","Narcissism","AV3.4.1","AV3.4.2","AV3.4.3","AV3.4.4","AV3.4.5","AV3.4.6","AV3.4.7","AV3.4.8","AV3.4.9","AV3.4.10","AV3.4.11","AV3.4.12","AV3.4.13","NPI-13","AV4.1.1","AV4.1.2","AV4.1.3","AV4.1.4","AV4.1.5","AV4.1.6","AV4.1.7","Social Media Use","AV4.3.1","AV4.3.2","AV4.3.3","AV4.3.4","AV4.3.5","AV4.3.6","AV4.3.7","AV4.3.8","AV4.3.9","AV4.3.10","AV4.3.11","AV4.3.12","Active Facebook Use","AV4.3.13","Facebook Friends","FB Years","AV4.10.1","AV4.10.2","AV4.10.3","AV4.10.4","SCA","High Low Agentic"
0,1,4,"Low","South Korea",1,4,4,3,2,1,1,3,2,1,1,1,3,1,1.9166666666666667,"Low",2,1,2,2,1,2,2,1,1,2,1,2,2,0.0,1,1,1,4,1,1,4,1.8571428571428572,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,,,1,1,1,1,1.0,"Low egocentric Use"
0,1,4,"Low","South Korea",1,4,3,3,3,3,3,3,3,3,3,3,3,3,3.0,"Low",2,1,2,2,1,2,2,1,1,2,1,2,2,0.0,2,2,1,5,1,1,3,2.142857142857143,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,0,1,1,3,1,1.5,"Low egocentric Use"
0,1,4,"Low","South Korea",1,4,5,5,4,4,4,4,2,4,4,4,4,4,4.0,"High",1,1,1,2,1,2,1,1,1,1,1,1,2,5.0,3,3,1,2,1,1,2,1.8571428571428572,4,3,4,3,2,2,3,2,2,4,3,3,2.8461538461538463,2,5,3,1,1,1,1,1.0,"Low egocentric Use"
0,1,4,"Low","South Korea",1,4,3,4,4,4,4,5,3,3,2,2,3,2,3.25,"High",1,2,2,1,1,2,2,1,1,1,1,2,1,5.0,3,3,1,3,1,1,2,2.0,3,1,3,1,1,1,2,1,1,1,1,3,1.6153846153846154,2,5,3,1,1,1,1,1.0,"Low egocentric Use"
0,1,4,"Low","South Korea",1,4,3,4,4,4,4,4,4,3,3,5,3,5,3.8333333333333335,"High",2,2,1,1,1,1,2,1,2,1,1,1,2,7.0,2,2,1,3,1,1,2,1.7142857142857142,2,1,1,1,1,1,3,2,1,2,2,1,1.5384615384615385,2,3,3,1,1,2,1,1.25,"Low egocentric Use"
0,1,4,"Low","South Korea",1,4,3,4,2,5,5,3,1,2,1,3,3,3,2.9166666666666665,"Low",2,2,2,2,1,2,2,1,1,2,1,2,2,1.0,1,1,1,3,1,1,2,1.4285714285714286,1,1,2,1,1,1,3,2,1,2,1,1,1.5384615384615385,3,3,1,1,1,1,1,1.0,"Low egocentric Use"
0,1,4,"Low","South Korea",1,4,1,3,3,3,4,3,5,3,3,2,2,2,2.8333333333333335,"Low",1,2,1,1,1,2,2,1,1,1,1,1,2,6.0,4,4,1,4,1,1,2,2.4285714285714284,2,2,2,2,2,3,1,1,3,3,3,4,2.3076923076923075,2,7,3,3,1,1,1,1.5,"Low egocentric Use"
0,1,4,"Low","South Korea",1,4,4,4,2,5,5,4,2,2,3,4,4,4,3.5833333333333335,"High",1,2,2,1,1,2,2,2,1,2,1,2,1,5.0,2,2,2,3,1,1,4,2.142857142857143,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,,,1,1,1,1,1.0,"Low egocentric Use"
0,1,4,"Low","South Korea",1,4,4,4,3,3,3,3,4,3,3,3,4,3,3.3333333333333335,"High",1,1,2,2,1,2,2,1,1,2,1,2,2,1.0,2,2,1,2,1,1,1,1.4285714285714286,3,2,2,1,1,1,1,2,2,3,3,3,2.076923076923077,3,2,2,1,2,1,1,1.25,"Low egocentric Use"
0,1,4,"Low","South Korea",1,4,3,3,2,5,3,3,2,4,3,2,3,2,2.9166666666666665,"Low",1,1,1,2,1,2,1,1,1,2,1,2,2,3.0,2,2,2,5,1,1,3,2.2857142857142856,2,1,1,1,1,1,2,2,1,2,1,1,1.3846153846153846,2,2,0,1,1,1,1,1.0,"Low egocentric Use"
0,1,4,"Low","South Korea",1,4,4,5,2,3,4,3,3,4,2,2,3,3,3.1666666666666665,"High",2,2,2,2,1,2,2,2,2,2,2,2,1,5.0,3,3,1,4,1,1,3,2.2857142857142856,5,2,4,1,1,1,5,2,1,2,2,5,2.769230769230769,5,3,1,1,1,1,1,1.0,"Low egocentric Use"
